"","Y","M","D","Prec"
"10959",1950,1,1,1.30000001937151
"10960",1950,1,2,4.30000006407499
"10961",1950,1,3,3.1000000461936
"10962",1950,1,4,3.00000004470348
"10963",1950,1,5,0
"10964",1950,1,6,0
"10965",1950,1,7,1.70000002533197
"10966",1950,1,8,2.90000004321337
"10967",1950,1,9,5.90000008791685
"10968",1950,1,10,0
"10969",1950,1,11,0
"10970",1950,1,12,0
"10971",1950,1,13,0
"10972",1950,1,14,0
"10973",1950,1,15,1.50000002235174
"10974",1950,1,16,3.1000000461936
"10975",1950,1,17,0
"10976",1950,1,18,0
"10977",1950,1,19,0
"10978",1950,1,20,0
"10979",1950,1,21,0
"10980",1950,1,22,0
"10981",1950,1,23,0
"10982",1950,1,24,0
"10983",1950,1,25,0
"10984",1950,1,26,0
"10985",1950,1,27,0
"10986",1950,1,28,0
"10987",1950,1,29,0
"10988",1950,1,30,0
"10989",1950,1,31,0
"10990",1950,2,1,0
"10991",1950,2,2,0
"10992",1950,2,3,0
"10993",1950,2,4,0
"10994",1950,2,5,0
"10995",1950,2,6,0
"10996",1950,2,7,2.5000000372529
"10997",1950,2,8,0
"10998",1950,2,9,0
"10999",1950,2,10,3.50000005215406
"11000",1950,2,11,3.90000005811453
"11001",1950,2,12,0
"11002",1950,2,13,2.10000003129244
"11003",1950,2,14,0
"11004",1950,2,15,4.30000006407499
"11005",1950,2,16,3.30000004917383
"11006",1950,2,17,1.80000002682209
"11007",1950,2,18,0
"11008",1950,2,19,0
"11009",1950,2,20,0
"11010",1950,2,21,5.6000000834465
"11011",1950,2,22,3.20000004768372
"11012",1950,2,23,0
"11013",1950,2,24,0
"11014",1950,2,25,2.20000003278255
"11015",1950,2,26,0
"11016",1950,2,27,2.40000003576279
"11017",1950,2,28,1.90000002831221
"11018",1950,3,1,0
"11019",1950,3,2,0
"11020",1950,3,3,0
"11021",1950,3,4,0
"11022",1950,3,5,0
"11023",1950,3,6,0
"11024",1950,3,7,0
"11025",1950,3,8,0
"11026",1950,3,9,0
"11027",1950,3,10,4.50000006705523
"11028",1950,3,11,0
"11029",1950,3,12,4.50000006705523
"11030",1950,3,13,0
"11031",1950,3,14,2.40000003576279
"11032",1950,3,15,0.900000013411045
"11033",1950,3,16,0
"11034",1950,3,17,0
"11035",1950,3,18,0
"11036",1950,3,19,0
"11037",1950,3,20,0
"11038",1950,3,21,0
"11039",1950,3,22,0
"11040",1950,3,23,0
"11041",1950,3,24,0
"11042",1950,3,25,0
"11043",1950,3,26,0
"11044",1950,3,27,0
"11045",1950,3,28,0
"11046",1950,3,29,0
"11047",1950,3,30,0
"11048",1950,3,31,0
"11049",1950,4,1,0
"11050",1950,4,2,0
"11051",1950,4,3,3.20000004768372
"11052",1950,4,4,0
"11053",1950,4,5,0
"11054",1950,4,6,0
"11055",1950,4,7,4.40000006556511
"11056",1950,4,8,0
"11057",1950,4,9,0
"11058",1950,4,10,8.7000001296401
"11059",1950,4,11,2.10000003129244
"11060",1950,4,12,2.30000003427267
"11061",1950,4,13,10.4000001549721
"11062",1950,4,14,2.00000002980232
"11063",1950,4,15,10.1000001505017
"11064",1950,4,16,0
"11065",1950,4,17,4.00000005960464
"11066",1950,4,18,2.40000003576279
"11067",1950,4,19,0
"11068",1950,4,20,0
"11069",1950,4,21,0
"11070",1950,4,22,0
"11071",1950,4,23,6.50000009685755
"11072",1950,4,24,5.40000008046627
"11073",1950,4,25,3.30000004917383
"11074",1950,4,26,3.20000004768372
"11075",1950,4,27,2.5000000372529
"11076",1950,4,28,1.90000002831221
"11077",1950,4,29,2.30000003427267
"11078",1950,4,30,0
"11079",1950,5,1,0
"11080",1950,5,2,0
"11081",1950,5,3,0
"11082",1950,5,4,0
"11083",1950,5,5,0
"11084",1950,5,6,0.900000013411045
"11085",1950,5,7,0
"11086",1950,5,8,0
"11087",1950,5,9,0
"11088",1950,5,10,0
"11089",1950,5,11,0
"11090",1950,5,12,0
"11091",1950,5,13,0
"11092",1950,5,14,0
"11093",1950,5,15,0
"11094",1950,5,16,0
"11095",1950,5,17,0
"11096",1950,5,18,0
"11097",1950,5,19,0
"11098",1950,5,20,0
"11099",1950,5,21,0
"11100",1950,5,22,0
"11101",1950,5,23,0
"11102",1950,5,24,0
"11103",1950,5,25,0
"11104",1950,5,26,0
"11105",1950,5,27,7.80000011622906
"11106",1950,5,28,0
"11107",1950,5,29,0
"11108",1950,5,30,0
"11109",1950,5,31,0
"11110",1950,6,1,0
"11111",1950,6,2,0
"11112",1950,6,3,0
"11113",1950,6,4,0
"11114",1950,6,5,0
"11115",1950,6,6,0
"11116",1950,6,7,0
"11117",1950,6,8,0
"11118",1950,6,9,0
"11119",1950,6,10,0
"11120",1950,6,11,0
"11121",1950,6,12,0
"11122",1950,6,13,0
"11123",1950,6,14,0
"11124",1950,6,15,0
"11125",1950,6,16,0
"11126",1950,6,17,4.20000006258488
"11127",1950,6,18,0
"11128",1950,6,19,0
"11129",1950,6,20,0
"11130",1950,6,21,0
"11131",1950,6,22,6.8000001013279
"11132",1950,6,23,5.6000000834465
"11133",1950,6,24,6.90000010281801
"11134",1950,6,25,3.40000005066395
"11135",1950,6,26,6.50000009685755
"11136",1950,6,27,0
"11137",1950,6,28,1.80000002682209
"11138",1950,6,29,1.80000002682209
"11139",1950,6,30,0
"11140",1950,7,1,0
"11141",1950,7,2,0
"11142",1950,7,3,0
"11143",1950,7,4,2.60000003874302
"11144",1950,7,5,0
"11145",1950,7,6,9.60000014305115
"11146",1950,7,7,4.20000006258488
"11147",1950,7,8,0
"11148",1950,7,9,0
"11149",1950,7,10,0
"11150",1950,7,11,0
"11151",1950,7,12,5.6000000834465
"11152",1950,7,13,0
"11153",1950,7,14,0
"11154",1950,7,15,0
"11155",1950,7,16,0
"11156",1950,7,17,0
"11157",1950,7,18,0
"11158",1950,7,19,0
"11159",1950,7,20,0
"11160",1950,7,21,0
"11161",1950,7,22,0
"11162",1950,7,23,6.2000000923872
"11163",1950,7,24,9.40000014007092
"11164",1950,7,25,0
"11165",1950,7,26,0
"11166",1950,7,27,0
"11167",1950,7,28,6.30000009387732
"11168",1950,7,29,0
"11169",1950,7,30,0
"11170",1950,7,31,0
"11171",1950,8,1,0
"11172",1950,8,2,0
"11173",1950,8,3,12.900000192225
"11174",1950,8,4,5.90000008791685
"11175",1950,8,5,21.9000003263354
"11176",1950,8,6,11.4000001698732
"11177",1950,8,7,4.60000006854534
"11178",1950,8,8,1.90000002831221
"11179",1950,8,9,0
"11180",1950,8,10,0
"11181",1950,8,11,0
"11182",1950,8,12,0
"11183",1950,8,13,0
"11184",1950,8,14,3.80000005662441
"11185",1950,8,15,0
"11186",1950,8,16,0
"11187",1950,8,17,0
"11188",1950,8,18,0
"11189",1950,8,19,4.10000006109476
"11190",1950,8,20,0
"11191",1950,8,21,0
"11192",1950,8,22,0
"11193",1950,8,23,0
"11194",1950,8,24,0
"11195",1950,8,25,5.50000008195639
"11196",1950,8,26,2.70000004023314
"11197",1950,8,27,0
"11198",1950,8,28,0
"11199",1950,8,29,3.40000005066395
"11200",1950,8,30,2.40000003576279
"11201",1950,8,31,0
"11202",1950,9,1,0
"11203",1950,9,2,6.70000009983778
"11204",1950,9,3,0
"11205",1950,9,4,1.90000002831221
"11206",1950,9,5,0
"11207",1950,9,6,0
"11208",1950,9,7,0.800000011920929
"11209",1950,9,8,4.90000007301569
"11210",1950,9,9,0
"11211",1950,9,10,0
"11212",1950,9,11,0
"11213",1950,9,12,0
"11214",1950,9,13,0
"11215",1950,9,14,0
"11216",1950,9,15,0
"11217",1950,9,16,0
"11218",1950,9,17,0
"11219",1950,9,18,0
"11220",1950,9,19,0.900000013411045
"11221",1950,9,20,0
"11222",1950,9,21,8.60000012814999
"11223",1950,9,22,6.50000009685755
"11224",1950,9,23,3.80000005662441
"11225",1950,9,24,6.50000009685755
"11226",1950,9,25,0
"11227",1950,9,26,0
"11228",1950,9,27,3.50000005215406
"11229",1950,9,28,0
"11230",1950,9,29,0
"11231",1950,9,30,0
"11232",1950,10,1,13.6000002026558
"11233",1950,10,2,9.50000014156103
"11234",1950,10,3,3.20000004768372
"11235",1950,10,4,0
"11236",1950,10,5,3.40000005066395
"11237",1950,10,6,0
"11238",1950,10,7,0
"11239",1950,10,8,0
"11240",1950,10,9,0
"11241",1950,10,10,0
"11242",1950,10,11,6.2000000923872
"11243",1950,10,12,11.1000001654029
"11244",1950,10,13,3.7000000551343
"11245",1950,10,14,0
"11246",1950,10,15,0
"11247",1950,10,16,0
"11248",1950,10,17,0
"11249",1950,10,18,21.1000003144145
"11250",1950,10,19,2.40000003576279
"11251",1950,10,20,2.70000004023314
"11252",1950,10,21,4.70000007003546
"11253",1950,10,22,7.70000011473894
"11254",1950,10,23,1.60000002384186
"11255",1950,10,24,0
"11256",1950,10,25,0
"11257",1950,10,26,4.60000006854534
"11258",1950,10,27,11.6000001728535
"11259",1950,10,28,11.200000166893
"11260",1950,10,29,7.00000010430813
"11261",1950,10,30,0
"11262",1950,10,31,0
"11263",1950,11,1,2.5000000372529
"11264",1950,11,2,0
"11265",1950,11,3,0
"11266",1950,11,4,0
"11267",1950,11,5,2.20000003278255
"11268",1950,11,6,1.90000002831221
"11269",1950,11,7,0
"11270",1950,11,8,3.1000000461936
"11271",1950,11,9,3.30000004917383
"11272",1950,11,10,1.40000002086163
"11273",1950,11,11,1.50000002235174
"11274",1950,11,12,0
"11275",1950,11,13,1.00000001490116
"11276",1950,11,14,4.70000007003546
"11277",1950,11,15,10.4000001549721
"11278",1950,11,16,3.30000004917383
"11279",1950,11,17,2.90000004321337
"11280",1950,11,18,0
"11281",1950,11,19,0
"11282",1950,11,20,0
"11283",1950,11,21,4.60000006854534
"11284",1950,11,22,3.30000004917383
"11285",1950,11,23,4.90000007301569
"11286",1950,11,24,6.40000009536743
"11287",1950,11,25,1.10000001639128
"11288",1950,11,26,6.50000009685755
"11289",1950,11,27,3.1000000461936
"11290",1950,11,28,0
"11291",1950,11,29,3.30000004917383
"11292",1950,11,30,0
"11293",1950,12,1,0
"11294",1950,12,2,0
"11295",1950,12,3,4.30000006407499
"11296",1950,12,4,1.90000002831221
"11297",1950,12,5,6.10000009089708
"11298",1950,12,6,0
"11299",1950,12,7,0
"11300",1950,12,8,0
"11301",1950,12,9,0
"11302",1950,12,10,0
"11303",1950,12,11,0
"11304",1950,12,12,2.40000003576279
"11305",1950,12,13,4.20000006258488
"11306",1950,12,14,0
"11307",1950,12,15,0
"11308",1950,12,16,5.80000008642673
"11309",1950,12,17,0.900000013411045
"11310",1950,12,18,3.00000004470348
"11311",1950,12,19,3.00000004470348
"11312",1950,12,20,0
"11313",1950,12,21,0
"11314",1950,12,22,0
"11315",1950,12,23,0
"11316",1950,12,24,0
