"","Y","M","D","Tmax"
"10959",1950,1,1,-2.90999993495643
"10960",1950,1,2,-0.249999994412065
"10961",1950,1,3,2.03999995440245
"10962",1950,1,4,-0.0999999977648258
"10963",1950,1,5,-4.67999989539385
"10964",1950,1,6,-7.46999983303249
"10965",1950,1,7,-5.37999987974763
"10966",1950,1,8,-2.99999993294477
"10967",1950,1,9,1.23999997228384
"10968",1950,1,10,-3.62999991886318
"10969",1950,1,11,-18.2799995914102
"10970",1950,1,12,-15.9299996439368
"10971",1950,1,13,-7.81999982520938
"10972",1950,1,14,0.799999982118607
"10973",1950,1,15,2.30999994836748
"10974",1950,1,16,4.29999990388751
"10975",1950,1,17,3.3299999255687
"10976",1950,1,18,-5.52999987639487
"10977",1950,1,19,-6.93999984487891
"10978",1950,1,20,-4.90999989025295
"10979",1950,1,21,-1.99999995529652
"10980",1950,1,22,-2.28999994881451
"10981",1950,1,23,-6.00999986566603
"10982",1950,1,24,-7.07999984174967
"10983",1950,1,25,-3.53999992087483
"10984",1950,1,26,-2.38999994657934
"10985",1950,1,27,-2.6399999409914
"10986",1950,1,28,-2.50999994389713
"10987",1950,1,29,-2.64999994076788
"10988",1950,1,30,-5.08999988622963
"10989",1950,1,31,-7.00999984331429
"10990",1950,2,1,-8.88999980129302
"10991",1950,2,2,-7.23999983817339
"10992",1950,2,3,-6.96999984420836
"10993",1950,2,4,-6.24999986030161
"10994",1950,2,5,-2.18999995104969
"10995",1950,2,6,3.23999992758036
"10996",1950,2,7,3.93999991193414
"10997",1950,2,8,4.25999990478158
"10998",1950,2,9,3.67999991774559
"10999",1950,2,10,1.68999996222556
"11000",1950,2,11,5.41999987885356
"11001",1950,2,12,5.07999988645315
"11002",1950,2,13,5.98999986611307
"11003",1950,2,14,7.94999982230365
"11004",1950,2,15,5.70999987237155
"11005",1950,2,16,8.44999981112778
"11006",1950,2,17,9.89999977871776
"11007",1950,2,18,9.8199997805059
"11008",1950,2,19,6.77999984845519
"11009",1950,2,20,5.39999987930059
"11010",1950,2,21,5.83999986946583
"11011",1950,2,22,5.05999988690019
"11012",1950,2,23,4.91999989002943
"11013",1950,2,24,4.4799998998642
"11014",1950,2,25,6.2599998600781
"11015",1950,2,26,7.98999982140958
"11016",1950,2,27,6.62999985180795
"11017",1950,2,28,1.79999995976686
"11018",1950,3,1,1.43999996781349
"11019",1950,3,2,1.82999995909631
"11020",1950,3,3,3.92999991215765
"11021",1950,3,4,5.54999987594783
"11022",1950,3,5,6.46999985538423
"11023",1950,3,6,6.98999984376132
"11024",1950,3,7,7.52999983169138
"11025",1950,3,8,6.15999986231327
"11026",1950,3,9,2.75999993830919
"11027",1950,3,10,1.86999995820224
"11028",1950,3,11,2.25999994948506
"11029",1950,3,12,5.35999988019466
"11030",1950,3,13,3.74999991618097
"11031",1950,3,14,2.44999994523823
"11032",1950,3,15,4.89999989047647
"11033",1950,3,16,6.11999986320734
"11034",1950,3,17,10.6799997612834
"11035",1950,3,18,13.2099997047335
"11036",1950,3,19,12.0499997306615
"11037",1950,3,20,13.5299996975809
"11038",1950,3,21,11.8499997351319
"11039",1950,3,22,12.7999997138977
"11040",1950,3,23,11.6599997393787
"11041",1950,3,24,8.91999980062246
"11042",1950,3,25,8.21999981626868
"11043",1950,3,26,7.31999983638525
"11044",1950,3,27,9.91999977827072
"11045",1950,3,28,7.68999982811511
"11046",1950,3,29,8.91999980062246
"11047",1950,3,30,9.59999978542328
"11048",1950,3,31,9.74999978207052
"11049",1950,4,1,10.5299997646362
"11050",1950,4,2,13.3299997020513
"11051",1950,4,3,14.6699996720999
"11052",1950,4,4,13.5599996969104
"11053",1950,4,5,11.0399997532368
"11054",1950,4,6,9.57999978587031
"11055",1950,4,7,9.26999979279935
"11056",1950,4,8,10.6199997626245
"11057",1950,4,9,15.519999653101
"11058",1950,4,10,11.6899997387081
"11059",1950,4,11,10.4399997666478
"11060",1950,4,12,10.7599997594953
"11061",1950,4,13,13.5599996969104
"11062",1950,4,14,11.2999997474253
"11063",1950,4,15,12.3899997230619
"11064",1950,4,16,16.4499996323138
"11065",1950,4,17,13.5299996975809
"11066",1950,4,18,12.4999997206032
"11067",1950,4,19,18.3499995898455
"11068",1950,4,20,19.4099995661527
"11069",1950,4,21,23.4599994756281
"11070",1950,4,22,25.1899994369596
"11071",1950,4,23,22.0799995064735
"11072",1950,4,24,17.1599996164441
"11073",1950,4,25,16.639999628067
"11074",1950,4,26,15.2999996580184
